City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
171,Thompson,CA,2022-09-02 03:35:48,55.7435,-97.8558,59.16,77,40,10.36
172,Beloha,MG,2022-09-02 03:35:49,-25.1667,45.05,61.72,70,46,9.93
173,Dunedin,NZ,2022-09-02 03:32:33,-45.8742,170.5036,52.81,85,100,1.01
174,Mahibadhoo,MV,2022-09-02 03:35:49,3.7833,72.9667,80.62,79,85,16.89
175,San Cristobal,VE,2022-09-02 03:35:49,7.7669,-72.225,68.18,97,51,1.83
176,Saint-Philippe,RE,2022-09-02 03:35:49,-21.3585,55.7679,63.99,73,49,11.81
177,Hervey Bay,AU,2022-09-02 03:35:50,-25.2986,152.8535,73.02,75,96,5.01
178,Vanavara,RU,2022-09-02 03:35:50,60.34,102.2797,46.56,71,100,2.57
179,Tura,IN,2022-09-02 03:35:50,25.5198,90.2201,77.23,94,87,5.5
180,San Patricio,US,2022-09-02 03:35:50,28.017,-97.5169,87.84,77,84,9.1
181,Svetlogorsk,BY,2022-09-02 03:35:51,52.6333,29.7333,40.59,84,7,5.17
182,Kuybysheve,UA,2022-09-02 03:35:51,47.358,36.6491,57.85,46,3,11.05
183,Simao,CN,2022-09-02 03:35:51,22.7886,100.9748,73.69,82,92,1.59
184,Bredy,RU,2022-09-02 03:35:51,52.4153,60.3411,80.44,21,61,14.7
185,Iqaluit,CA,2022-09-02 03:35:52,63.7506,-68.5145,40.73,100,75,4.61
186,Palu,ID,2022-09-02 03:35:52,-0.8917,119.8707,91.76,51,14,3.2
187,Shingu,JP,2022-09-02 03:35:52,33.7333,135.9833,83.89,75,31,5.95
188,Hofn,IS,2022-09-02 03:35:52,64.2539,-15.2082,48.0,80,100,10.27
189,Leh,IN,2022-09-02 03:35:53,34.1667,77.5833,62.08,47,12,6.53
190,Haines Junction,CA,2022-09-02 03:35:53,60.7522,-137.5108,55.35,54,100,5.75
191,Hohhot,CN,2022-09-02 03:35:53,40.8106,111.6522,71.89,43,0,4.47
192,Salalah,OM,2022-09-02 03:35:54,17.0151,54.0924,77.09,88,75,3.44
193,Karachi,PK,2022-09-02 03:35:54,24.9056,67.0822,84.02,74,75,9.22
194,Zhanaozen,KZ,2022-09-02 03:35:54,43.3,52.8,84.45,15,0,13.85
195,Wewak,PG,2022-09-02 03:35:54,-3.5534,143.6268,84.63,69,99,8.95
196,Honiton,GB,2022-09-02 03:35:54,50.7996,-3.189,60.24,87,94,8.61
197,Beni Suef,EG,2022-09-02 03:35:55,29.0731,31.0979,75.54,72,0,11.48
198,Arlit,NE,2022-09-02 03:35:55,18.7369,7.3853,88.74,42,63,8.55
199,Tazmalt,DZ,2022-09-02 03:35:55,36.3868,4.3989,82.08,40,99,3.6
200,Zhaozhou,CN,2022-09-02 03:35:55,45.6833,125.3167,73.27,44,0,14.85
201,Tabas,IR,2022-09-02 03:35:56,33.5959,56.9244,83.25,11,0,1.77
202,Annan,GB,2022-09-02 03:35:56,54.9884,-3.2565,57.78,94,0,6.76
