City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
352,Sao Joao Do Paraiso,BR,63.32,overcast clouds,-15.3136,-42.0144,Avenida Palace Hotel
356,Banda Aceh,ID,79.59,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
359,Gurupi,BR,84.78,overcast clouds,-11.7292,-49.0686,Via Norte Hotel
360,Nishihara,JP,83.86,mist,26.1842,127.7558,Minshuku Agaihama
361,Victor Harbor,AU,56.68,overcast clouds,-35.5667,138.6167,McCracken Country Club
362,Zhanakorgan,KZ,75.81,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
364,Lawton,US,83.41,overcast clouds,34.6087,-98.3903,Holiday Inn Express & Suites Lawton-Fort Sill
366,Danville,US,75.02,light rain,36.586,-79.395,"Holiday Inn Express Danville, an IHG Hotel"
367,Kismayo,SO,74.71,clear sky,-0.3582,42.5454,Agan-Hotel
370,Sorong,ID,81.21,few clouds,-0.8833,131.25,Waigo Splash Hotel
374,Tricase,IT,73.04,clear sky,39.9304,18.3553,Hotel Adriatico
375,Cardston,CA,79.09,clear sky,49.2,-113.3019,Flamingo Motel
376,Ulladulla,AU,58.77,overcast clouds,-35.35,150.4667,Sandpiper Motel
378,Menongue,AO,65.89,overcast clouds,-14.6585,17.691,Ritz Lauca
381,Larap,PH,84.4,overcast clouds,14.299,122.6504,Montemayor Cove
384,Corning,US,69.76,light rain,42.1428,-77.0547,Fairfield Inn Corning Riverside
390,Puerto Quijarro,BO,73.44,clear sky,-17.7833,-57.7667,Hotel palance
391,Altamira,BR,81.79,overcast clouds,-3.2033,-52.2064,Requinte Hotel
392,Petropavlovsk-Kamchatskiy,RU,63.19,scattered clouds,53.0452,158.6483,The Hotel Petropavlovsky
393,Mandera,KE,74.25,clear sky,3.9366,41.867,Red Sea Resort & Suites Mandera County
394,Odweyne,SO,76.23,broken clouds,9.4092,45.064,Eng Hiirey House
395,Sabang,ID,81.9,overcast clouds,5.8933,95.3214,Hotel Citra
396,Doaba,PK,74.84,clear sky,33.4244,70.7364,mian hayat khan
398,Betong,TH,75.6,overcast clouds,5.7743,101.0723,New Cathay Hotel
