City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Los Llanos De Aridane,ES,28.6585,-17.9182,69.55,95,20,10.36,few clouds
290,Camacha,PT,33.0833,-16.3333,67.42,83,20,6.91,few clouds
291,Bela,IN,25.9333,81.9833,82.6,71,77,3.65,broken clouds
292,Talavera,PH,15.6167,120.9333,81.68,83,100,3.47,overcast clouds
293,Camacupa,AO,-12.0167,17.4833,65.89,58,61,1.95,broken clouds
294,Numan,NG,9.4667,12.0333,72.39,96,98,4.25,light rain
295,Havelock,US,34.8791,-76.9013,84.18,83,67,1.01,broken clouds
296,Kita,ML,13.0349,-9.4895,73.92,86,100,2.46,overcast clouds
297,Port Elizabeth,ZA,-33.918,25.5701,57.49,65,0,17.27,clear sky
298,Ostrovnoy,RU,68.0531,39.5131,45.55,92,100,18.01,light rain
299,Lorengau,PG,-2.0226,147.2712,85.12,62,92,9.4,overcast clouds
300,Iqaluit,CA,63.7506,-68.5145,40.73,80,75,6.91,broken clouds
301,Naze,JP,28.3667,129.4833,81.52,81,100,12.24,overcast clouds
302,Batagay-Alyta,RU,67.8006,130.4114,42.84,50,100,4.54,overcast clouds
303,Neyshabur,IR,36.2133,58.7958,69.57,19,0,2.33,clear sky
304,Gobabis,NA,-22.45,18.9667,52.43,29,0,10.58,clear sky
305,Grand Gaube,MU,-20.0064,57.6608,70.2,71,8,5.99,clear sky
306,Sibolga,ID,1.7427,98.7792,79.92,78,100,1.12,moderate rain
307,Havoysund,NO,70.9963,24.6622,46.63,81,100,13.58,overcast clouds
308,Narasannapeta,IN,18.4167,84.05,81.7,82,28,2.66,scattered clouds
309,Aguimes,ES,27.9054,-15.4461,70.66,78,40,20.71,scattered clouds
310,Maldonado,UY,-34.6667,-54.9167,53.22,77,0,6.58,clear sky
311,Mudbidri,IN,13.0833,74.9833,76.62,94,40,3.44,fog
312,Green River,US,41.5286,-109.4662,91.8,13,6,5.99,clear sky
313,Grenada,ES,37.1882,-3.6067,66.67,48,0,3.0,clear sky
314,Pacific Grove,US,36.6177,-121.9166,92.34,61,0,5.75,clear sky
315,Dharchula,IN,29.85,80.5333,67.3,85,0,3.69,clear sky
316,Severo-Kurilsk,RU,50.6789,156.125,56.08,89,82,8.03,broken clouds
317,Tura,IN,25.5198,90.2201,76.15,91,100,3.94,moderate rain
318,Tuskegee,US,32.424,-85.6916,79.95,100,100,2.62,overcast clouds
319,Sterling,US,39.0062,-77.4286,76.12,88,100,1.99,overcast clouds
320,Kumla,SE,59.1277,15.1434,51.67,94,40,4.61,fog
321,Mitsamiouli,KM,-11.3847,43.2844,74.16,76,0,10.29,clear sky
322,Gravdal,NO,68.1214,13.5031,49.57,80,100,10.92,overcast clouds
323,Ulaanbaatar,MN,47.9077,106.8832,39.33,75,40,2.24,scattered clouds
324,Tingo Maria,PE,-9.2895,-76.0088,69.76,90,100,1.74,overcast clouds
325,Carutapera,BR,-1.195,-46.02,78.82,83,27,9.04,scattered clouds
326,Gyanpur,IN,25.35,82.4667,82.35,70,96,3.15,overcast clouds
327,Chickasha,US,35.0526,-97.9364,85.35,51,0,4.61,clear sky
328,Yarega,RU,63.4354,53.5765,41.31,97,100,4.65,overcast clouds
329,Gat,IL,31.61,34.7642,74.39,100,0,4.38,clear sky
